Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity,Concentration area(s),How would you describe your political affiliation?,"Are you a ""legacy"" student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University? ,2.  Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job representing and addressing the concerns of the undergraduate student body?,3. How informed do you feel on the initiatives of the Undergraduate Council of Students and their implementations?,4. Do you agree or disagree that the University should build a new performing arts center on the site of the current Urban Environmental Lab?,5. Did you alter your social media accounts before applying to college? (Circle all that apply),6. How many times have you used Brown‰Ûªs Emergency Medical Services (EMS) in the past academic school year for drug- or alcohol-related instances?,7. Have you ever decided not to call EMS for yourself or a peer for a fear of University or other repercussions?,"8. How often do you participate in religious activities at Brown (church, fellowships, religious associations)?","9. Before coming to Brown, how often did you participate in religious activities?",10. Do you approve or disapprove of the way the University is handling its budget?,"11. If you were in a situation that fell under the jurisdiction of the Title IX office, which handles cases of sexual and gender-based harassment, how comfortable would you feel going to the office for assistance and support?","12. Do you plan to pursue a career in visual, performing or literary arts immediately after graduation?",13.  Have you gone on a new or different birth control recently in response to the political climate?
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,No opinion,Not at all informed,Somewhat disagree,Other,1 time,No,Never,Once a week,No opinion,No opinion,No,This question does not apply to me
Male,Junior,Grants and loans,No,Heterosexual,"Asian, Native Hawaiian/Pacific Islander",Social sciences,Other,No,No,Somewhat approve,No opinion,Somewhat uninformed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,No opinion,Somewhat comfortable,No,This question does not apply to me
Female,Sophomore,Just loans,No,Heterosexual,Black,Social sciences,Democrat,No,No,Somewhat disapprove,Strongly approve,Somewhat informed,Somewhat disagree,Did not make any changes,1 time,No,Once or twice a semester,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,No
Female,Junior,"Grants, covering all costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Independent,No,Yes,Somewhat approve,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,This question does not apply to me
Male,Junior,None,No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",Democrat,No,Yes,No opinion,No opinion,Not at all informed,No opinion,Changed profile name on account,I have not used EMS in the past year,Yes,Never,Once a week,No opinion,No opinion,No,This question does not apply to me
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,No,No opinion,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,Yes
Female,Junior,"Grants, covering all costs",No,Heterosexual,Black,"Physical sciences (incl. math, CS)",Other,No,No,No opinion,Somewhat approve,Somewhat informed,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Once a week,No opinion,Somewhat uncomfortable,No,"I have gone on a new or different birth control, but not in response to the political climate"
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Other,"Physical sciences (incl. math, CS)",Democrat,No,Yes,No opinion,Strongly approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Strongly disapprove,No opinion,No,No
Female,Junior,Grants and loans,No,Heterosexual,White,Life sciences,Other,No,No,Somewhat approve,Strongly approve,Very informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once or twice a semester,Once a week,Strongly approve,Very comfortable,No,No
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Democrat,No,Yes,Somewhat approve,Somewhat disapprove,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,No
Female,First-year,None,No,Heterosexual,Other,"Physical sciences (incl. math, CS)",Independent,No,No,Strongly approve,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once a week,No opinion,Somewhat comfortable,No,No
Male,First-year,Grants and loans,No,Heterosexual,White,Humanities/arts,Democrat,No,No,Somewhat approve,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,This question does not apply to me
Male,Sophomore,None,Yes,Bisexual,"White, Asian",Life sciences,Democrat,No,Yes,Somewhat approve,Somewhat disapprove,Somewhat informed,Strongly agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,No
Female,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Life sciences",Other,No,No,No opinion,No opinion,No opinion,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat uncomfortable,No,No
Female,Senior,None,No,Heterosexual,White,Life sciences,Democrat,No,No,,Somewhat approve,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,First-year,Just loans,No,Heterosexual,Asian,Life sciences,Democrat,No,No,No opinion,No opinion,Not at all informed,Somewhat disagree,Did not make any changes,1 time,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,No
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Social sciences",Democrat,Yes,Yes,Somewhat approve,Somewhat approve,Somewhat informed,Strongly disagree,Did not make any changes,I have not used EMS in the past year,No,Never,Once a week,No opinion,Very comfortable,No,This question does not apply to me
Male,Sophomore,None,Yes,Bisexual,"White, Asian",Life sciences,Democrat,No,No,Somewhat approve,Somewhat disapprove,Somewhat informed,Strongly agree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat approve,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Independent,No,No,No opinion,No opinion,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Once a year,Once a year,No opinion,Somewhat comfortable,No,No
Male,Sophomore,None,No,Heterosexual,Asian,Life sciences,Democrat,No,No,Strongly approve,Strongly approve,Not at all informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,No opinion,Somewhat comfortable,Unsure,This question does not apply to me
Female,First-year,None,Yes,Heterosexual,White,Social sciences,Democrat,No,No,No opinion,No opinion,No opinion,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Very comfortable,No,No
Female,First-year,None,No,Bisexual,"White, Asian",Life sciences,Democrat,No,No,Strongly approve,No opinion,No opinion,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat comfortable,No,Yes
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Life sciences,Democrat,No,Yes,No opinion,No opinion,Not at all informed,Strongly disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Once or twice a month,Once or twice a semester,No opinion,Very comfortable,No,No
Female,First-year,None,No,Bisexual,White,Social sciences,Democrat,No,,No opinion,No opinion,No opinion,Somewhat disagree,Deleted certain posts on account,I have not used EMS in the past year,No,Never,Never,No opinion,Very comfortable,No,This question does not apply to me
Female,Senior,None,No,Heterosexual,Asian,Humanities/arts,Democrat,Yes,No,Somewhat approve,Strongly approve,Somewhat informed,No opinion,Changed profile name on account,I have not used EMS in the past year,No,Once a year,Once or twice a month,No opinion,Somewhat comfortable,Yes,No
Male,Sophomore,"Grants, covering some costs",Yes,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Other,No,No,Somewhat approve,No opinion,Somewhat informed,No opinion,Did not make any changes,I have not used EMS in the past year,No,Never,Never,Somewhat disapprove,Somewhat uncomfortable,No,This question does not apply to me
